GET  /
GET  /css/app.css
GET  /
GET  /css/app.css
GET  /  undefined
GET  /css/app.css  undefined
GET  /  https://www.youtube.com
GET  /  https://www.google.com
GET  /  https://www.google.com
GET  /  https://stackoverflow.com
GET  /  https://stackoverflow.com
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /  undefined
GET  /asdfadsf  undefined
GET  /asdfadsf  undefined
GET  /asdfadsf  undefined
GET  /  undefined
GET  /css/app.css  undefined
GET  /asdfadsf  undefined
GET  /  undefined
GET  /css/app.css  undefined
GET  /favicon.ico  undefined
GET  /  undefined
GET  /css/app.css  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /  undefined
GET  /css/app.css  undefined
GET  /admin  undefined
GET  /admin  undefined
GET  /admin/admin  undefined
GET  /admin/admin  undefined
GET  /admin/admin  undefined
GET  /admin  undefined
GET  /admin/setting  undefined
GET  /admin/setting  undefined
GET  /admin  undefined
GET  /admin/adfadf  undefined
GET  /admin/setting  undefined
GET  /  undefined
GET  /v1  undefined
GET  /v1  undefined
GET  /v1  undefined
GET  /v1  undefined
GET  /v1  undefined
GET  /v1  undefined
GET  /v1/emplyees  undefined
GET  /v1/employees  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff/11  undefined
GET  /  undefined
GET  /favicon.ico  undefined
GET  /  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
POST  /v1/staff  undefined
POST  /v1/staff  undefined
POST  /v1/staff  undefined
POST  /v1/staff  undefined
POST  /v1/staff  undefined
POST  /v1/staff  undefined
POST  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
POST  /v1/staff  undefined
POST  /v1/staff  undefined
GET  /v1/staff  undefined
POST  /v1/staff  undefined
GET  /v1/staff  undefined
POST  /v1/staff  undefined
POST  /v1/staff  undefined
PUT  /v1/staff/1  undefined
PUT  /v1/staff/2  undefined
PUT  /v1/staff/3  undefined
PUT  /v1/staff/4  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
POST  /v1/staff  undefined
GET  /v1/staff  undefined
PUT  /v1/staff/3  undefined
PUT  /v1/staff  undefined
PUT  /v1/staff/3  undefined
PUT  /v1/staff/2  undefined
PUT  /v1/staff/3  undefined
PUT  /v1/staff/2  undefined
PUT  /v1/staff/2  undefined
PUT  /v1/staff/1  undefined
PUT  /v1/staff/2  undefined
PUT  /v1/staff/3  undefined
PUT  /v1/staff/3  undefined
PUT  /v1/staff/3  undefined
PUT  /v1/staff/2  undefined
PUT  /v1/staff/2  undefined
PUT  /v1/staff/2  undefined
GET  /v1/staff  undefined
PUT  /v1/staff/2  undefined
GET  /v1/staff  undefined
PUT  /v1/staff/1  undefined
GET  /v1/staff/1  undefined
GET  /v1/staff  undefined
GET  /v1/staff  undefined
PUT  /v1/staff/1  undefined
GET  /v1/staff  undefined
POST  /v1/staff  undefined
GET  /v1/staff  undefined
PUT  /v1/staff/3  undefined
GET  /v1/staff/3  undefined
GET  /v1/staff  undefined
POST  /v1/staff  undefined
GET  /v1/staff  undefined
PUT  /v1/staff/3  undefined
GET  /v1/staff/3  undefined
GET  /v1/staff  undefined
DELETE  /v1/staff/3  undefined
GET  /v1/staff/3  undefined
GET  /v1/staff/3  undefined
GET  /v1/staff/2  undefined
GET  /v1/staff/1  undefined
GET  /v1/admin  undefined
GET  /v1/staff  undefined
POST  /v1/staff  undefined
PUT  /v1/staff/3  undefined
DELETE  /v1/staff/3  undefined
GET  /v1/staff/3  undefined
GET  /v1/staff/2  undefined
GET  /v1/staff/2  undefined
GET  /v1/admin  undefined
GET  /  undefined
GET  /favicon.ico  undefined
GET  /v1  undefined
GET  /v1/staff  undefined
GET  /  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
GET  /v1/auth/login  undefined
POST  /v1/auth/register  undefined
GET  /v1/auth/login  undefined
GET  /v1/auth/login  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
GET  /v1/auth/login  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
GET  /v1/auth/login  undefined
GET  /v1/auth/login  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/login  undefined
POST  /v1/auth/login  undefined
GET  /v1/auth/login  undefined
GET  /v1/auth/login  undefined
POST  /v1/auth/login  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/register  undefined
POST  /v1/auth/login  undefined
